"Subject","Bin","Time","ToTarget","ToDistractors","Proportion","Trials","elogit","elogit_weights","ot1","ot2"
"104L",10,699.4932,20,73,0.21505376344086,39,-1.27686052007443,0.0623859299817488,-0.116014651370384,-0.121906066464032
"104L",11,749.457,18,77,0.189473684210526,39,-1.43250720427502,0.0669572798605057,-0.0949210783939507,-0.149198469403741
"104L",12,799.4208,20,69,0.224719101123595,39,-1.22090186642638,0.0631689770135112,-0.0738275054175172,-0.171032391755508
"104L",13,849.3846,22,68,0.244444444444444,39,-1.11331843605781,0.0590429845904299,-0.0527339324410837,-0.187407833519333
"104L",14,899.3484,27,68,0.284210526315789,39,-0.912647740595654,0.0509621765096218,-0.0316403594646502,-0.198324794695217
"104L",15,949.3122,34,63,0.350515463917526,39,-0.610080581861332,0.0447335387424398,-0.0105467864882168,-0.203783275283159
"104L",16,999.276,41,62,0.398058252427184,39,-0.409473129505703,0.0400963855421687,0.0105467864882167,-0.203783275283159
"104L",17,1049.2398,45,63,0.416666666666667,39,-0.333327579941741,0.037726053474085,0.0316403594646503,-0.198324794695217
"104L",18,1099.2036,40,58,0.408163265306122,39,-0.367724780125317,0.0417853751187085,0.0527339324410837,-0.187407833519333
"104L",19,1149.1674,41,59,0.41,39,-0.360282885314932,0.0409031082312443,0.0738275054175172,-0.171032391755508
"104L",20,1199.1312,52,56,0.481481481481481,39,-0.0734274685548172,0.0367467340918668,0.0949210783939507,-0.149198469403741
"104L",21,1249.095,51,49,0.51,39,0.0396091380950459,0.0396194959301755,0.116014651370384,-0.121906066464032
"104L",22,1299.0588,51,47,0.520408163265306,39,0.080852096629095,0.0404701073071027,0.137108224346818,-0.0891551829363819
"104L",23,1349.0226,53,48,0.524752475247525,39,0.0981178559585234,0.0393101454860777,0.158201797323251,-0.0509458188207897
"104L",24,1398.9864,56,44,0.56,39,0.238751448980201,0.0401710251566073,0.179295370299685,-0.00727797411725567
"104L",25,1448.9502,51,46,0.525773195876289,39,0.10212949507638,0.0409228520722414,0.200388943276118,0.0418483511742201
"104L",26,1498.914,43,57,0.43,39,-0.279024009708666,0.0403798100949525,0.221482516252552,0.0964331570536376
"104L",27,1548.8778,39,57,0.40625,39,-0.375484275896229,0.0427077600440286,0.242576089228985,0.156476443520997
"104L",28,1598.8416,39,54,0.419354838709677,39,-0.321900029762122,0.0436650795494135,0.263669662205418,0.221978210576298
"104L",29,1648.8054,42,50,0.456521739130435,39,-0.172469260350943,0.0433313919627257,0.284763235181852,0.292938458219541
"104L",30,1698.7692,42,51,0.451612903225806,39,-0.192077731739319,0.0429468874928612,0.305856808158285,0.369357186450725
"106L",1,249.819,26,50,0.342105263157895,36,-0.644828603289138,0.0575378292546236,-0.305856808158285,0.369357186450725
"106L",2,299.7828,25,53,0.320512820512821,36,-0.74100320173758,0.0579072750595565,-0.284763235181852,0.292938458219541
"106L",3,349.7466,21,60,0.259259259259259,36,-1.03459042990318,0.0630405535268115,-0.263669662205418,0.221978210576298
"106L",4,399.7104,21,62,0.253012048192771,36,-1.06711362160874,0.0625116279069767,-0.242576089228985,0.156476443520997
"106L",5,449.6742,20,63,0.240963855421687,36,-1.13061501975428,0.064528519300941,-0.221482516252551,0.0964331570536376
"106L",6,499.638,25,56,0.308641975308642,36,-0.795562185988015,0.0569148013187576,-0.200388943276118,0.0418483511742202
"106L",7,549.6018,27,57,0.321428571428571,36,-0.737598943130779,0.0537549407114624,-0.179295370299685,-0.00727797411725557
"106L",8,599.5656,30,53,0.36144578313253,36,-0.561954970288595,0.0514784740309484,-0.158201797323251,-0.0509458188207896
"106L",9,649.5294,34,47,0.419753086419753,36,-0.319770387003281,0.0500381388253242,-0.137108224346818,-0.0891551829363819
"106L",10,699.4932,36,49,0.423529411764706,36,-0.304660408986199,0.0475992804759928,-0.116014651370384,-0.121906066464032
"106L",11,749.457,34,43,0.441558441558442,36,-0.231801614057324,0.0519740129935033,-0.0949210783939507,-0.149198469403741
"106L",12,799.4208,34,53,0.390804597701149,36,-0.438722329864647,0.0476770960314235,-0.0738275054175172,-0.171032391755508
"106L",13,849.3846,37,47,0.44047619047619,36,-0.23638877806423,0.047719298245614,-0.0527339324410837,-0.187407833519333
"106L",14,899.3484,39,43,0.475609756097561,36,-0.0964602661875622,0.048304961443329,-0.0316403594646502,-0.198324794695217
"106L",15,949.3122,43,40,0.518072289156627,36,0.071458963982145,0.0476798637718178,-0.0105467864882168,-0.203783275283159
"106L",16,999.276,52,37,0.584269662921348,36,0.336472236621213,0.0457142857142857,0.0105467864882167,-0.203783275283159
"106L",17,1049.2398,58,34,0.630434782608696,36,0.528067430200497,0.0460795243403939,0.0316403594646503,-0.198324794695217
"106L",18,1099.2036,60,32,0.652173913043478,36,0.621403275701104,0.0472981563890655,0.0527339324410837,-0.187407833519333
"106L",19,1149.1674,62,25,0.71264367816092,36,0.896488104577975,0.0552156862745098,0.0738275054175172,-0.171032391755508
"106L",20,1199.1312,65,33,0.663265306122449,36,0.670504703810186,0.0451179218411758,0.0949210783939507,-0.149198469403741
"106L",21,1249.095,61,34,0.642105263157895,36,0.578077850775158,0.0452456698480028,0.116014651370384,-0.121906066464032
"106L",22,1299.0588,63,36,0.636363636363636,36,0.5537276453102,0.0431452917700356,0.137108224346818,-0.0891551829363819
"106L",23,1349.0226,63,36,0.636363636363636,36,0.5537276453102,0.0431452917700356,0.158201797323251,-0.0509458188207897
"106L",24,1398.9864,62,31,0.666666666666667,36,0.685179010910768,0.0477460317460317,0.179295370299685,-0.00727797411725567
"106L",25,1448.9502,66,25,0.725274725274725,36,0.958523495497428,0.0542532802594722,0.200388943276118,0.0418483511742201
"106L",26,1498.914,64,25,0.719101123595506,36,0.927986771637346,0.0547195622435021,0.221482516252552,0.0964331570536376
"106L",27,1548.8778,62,28,0.688888888888889,36,0.785262469467751,0.0510877192982456,0.242576089228985,0.156476443520997
"106L",28,1598.8416,57,37,0.606382978723404,36,0.42744401482694,0.0440579710144928,0.263669662205418,0.221978210576298
"106L",29,1648.8054,53,39,0.576086956521739,36,0.303380981994885,0.0440080444812493,0.284763235181852,0.292938458219541
"106L",30,1698.7692,49,39,0.556818181818182,36,0.225671997667568,0.0455184758982227,0.305856808158285,0.369357186450725
"107L",1,249.819,29,84,0.256637168141593,43,-1.05236127101735,0.045732624611373,-0.305856808158285,0.369357186450725
"107L",2,299.7828,29,86,0.252173913043478,43,-1.07575415059206,0.0454589987263643,-0.284763235181852,0.292938458219541
"107L",3,349.7466,27,90,0.230769230769231,43,-1.19116384603335,0.0474133601205424,-0.263669662205418,0.221978210576298
"107L",4,399.7104,25,90,0.217391304347826,43,-1.2666713985415,0.0502654100314159,-0.242576089228985,0.156476443520997
"107L",5,449.6742,27,91,0.228813559322034,43,-1.20215296760895,0.0472925981122702,-0.221482516252551,0.0964331570536376
"107L",6,499.638,26,86,0.232142857142857,43,-1.18299968094566,0.0492965426982223,-0.200388943276118,0.0418483511742202
"107L",7,549.6018,31,75,0.292452830188679,43,-0.874145110423392,0.0449910648586145,-0.179295370299685,-0.00727797411725557
